,Time,Tweet,Favorites,Retweets,Sentiment,keyPhrases
67,2019-06-04 03:44:44,#tomato #plants are getting ready to ripen #bakersfieldcalifornia #healthylifestyle #sustainablelifestyle #zag1 https://t.co/b4cuVxHAHf,0,0,0.7351688146591187,"['bakersfieldcalifornia', 'healthylifestyle', 'sustainablelifestyle', 'zag1', 'tomato', 'plants']"
68,2019-06-04 02:00:12,What do you prefer to as a protein boost? A Protein Shake or Bar? Share what works for you (leave a comment below). https://t.co/5KFJTRR6Jc,4,0,0.8951648473739624,"['Protein Shake', 'protein boost', 'Bar', 'comment']"
69,2019-06-04 01:45:06, \n\n#Repost kushiplanet\n     \nThe threat is real\n#BanTheBag #BreakFreeFromPlastic https://t.co/IQXHEoTDi4,0,0,0.5,"['nThe threat', 'BanTheBag', 'BreakFreeFromPlastic', 'kushiplanet']"
70,2019-06-03 22:35:03,Bringing the power of plastic recycling to the people https://t.co/AqYmupIfE5 #plastic #plasticpollution https://t.co/mIvoRGaPHN,2,0,0.5,"['power of plastic recycling', 'people', 'plasticpollution']"
71,2019-06-03 22:01:28,"@steviedubyu @KevinClimate @MichaelEMann @penn_state @USATODAY It's easier to educate, bring more people along when https://t.co/mq23j2fZ88",0,0,0.9443080425262451,"['penn', 'MichaelEMann', 'state', 'KevinClimate', 'USATODAY', 'steviedubyu', 'people']"
72,2019-06-03 22:00:07,We want to show you some appreciation with a little gift for joining our community. Sign up for our email list and https://t.co/JXyIFzPjSz,0,0,0.8059331178665161,"['little gift', 'appreciation', 'community', 'email list']"
73,2019-06-03 21:00:14,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/GEyhMhkslT,1,0,0.5,"['grownwellness', 'fitness', 'sustainablelifestyle', 'levelup', 'healthcoach', 'lozantonenko', 'courage']"
74,2019-06-03 15:38:21,"RT @ethiqana: Does a #sustainablelifestyle involve sacrifices? We don't think so, we might have even convinced a few people of the same Wh",0,1,0.5,"['ethiqana', 'sustainablelifestyle', 'people', 'Wh', 'RT', 'sacrifices']"
75,2019-06-03 14:46:26,RT @yogaclicks: Is it just us? Tag a friend to make them smile \n\n.\n.\n.\n.\n.\n\n#fridayfunny #fridayfun #yogafunny #yogahumour #yogajoke #thear,0,1,0.8386358022689819,"['yogafunny', 'yogahumour', 'yogajoke', 'fridayfunny', 'thear', 'RT', 'yogaclicks', 'friend']"
76,2019-06-03 13:31:02,I find my daily inspiration in the mirror and in the way I feel every morning. #tanishaamukherji : https://t.co/9k4eVSnk1U,2,0,0.21608102321624756,"['mirror', 'way', 'daily inspiration', 'morning', 'tanishaamukherji']"
77,2019-06-03 12:55:07,"Does a #sustainablelifestyle involve sacrifices? We don't think so, we might have even convinced a few people of th https://t.co/5U3YTa5RML",1,1,0.16942310333251953,"['sustainablelifestyle', 'sacrifices', 'people of th']"
78,2019-06-03 11:45:45,"RT @EconmiaCreativa: Happy World Bicycle Day! The best machine ever created  :) Are you part of the #cyclingculture?\nGo out for a ride, it",0,1,0.9962918758392334,"['EconmiaCreativa', 'Happy World Bicycle Day', 'RT', 'nGo', 'best machine', 'ride', 'cyclingculture']"
79,2019-06-03 11:34:36,"Happy World Bicycle Day! The best machine ever created  :) Are you part of the #cyclingculture?\nGo out for a ride, https://t.co/DjJFBTn8ld",2,1,0.9980237483978271,"['Happy World Bicycle Day', 'nGo', 'best machine', 'cyclingculture', 'ride']"
80,2019-06-03 09:43:40,     \n   #sustainablelifestyle  https://t.co/PwPK2Gpvzo,1,0,0.21976003050804138,['sustainablelifestyle']
81,2019-06-03 09:00:15,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/nAB87vmcgw,1,0,0.5,"['grownwellness', 'fitness', 'sustainablelifestyle', 'levelup', 'healthcoach', 'lozantonenko', 'courage']"
82,2019-06-03 08:11:34,"If you plant a tree, you plant a life. #savetrees #environmentday #worldenvironmentday #climatechange https://t.co/KwsFowR58h",3,0,0.7579188346862793,"['savetrees', 'worldenvironmentday', 'climatechange', 'life']"
83,2019-06-03 08:05:07,How did you get in to work today? \n\n#SustainableLifeStyle #EnvironmentallyFriendly  \nhttps://t.co/LBdiWvHtNO,1,0,0.24855780601501465,"['SustainableLifeStyle', 'EnvironmentallyFriendly']"
84,2019-06-03 06:27:04,Shade-loving indoor plants\n#ItalianPlanters #Qatar #Indoor_Outdoor_Plants #LandscapeMaintenance #PlantingSeeds https://t.co/xxHuUmLMwd,0,0,0.8596764802932739,"['indoor plants', 'Qatar', 'ItalianPlanters', 'LandscapeMaintenance', 'PlantingSeeds', 'Shade']"
85,2019-06-03 06:14:44,"RT @LessLab1:  #Free #Bikes\nIf #benefits of #cycling  both #economic and #environment|al   outweigh cost of bikes overall, then why not",0,1,0.9154132604598999,"['cost of bikes', 'benefits', 'environment', 'LessLab1', 'nIf', 'RT']"
86,2019-06-03 02:05:28,#minglake #kerncounty #ibikekern #zag1 #healthylifestyle #sustainablelifestyle #bakersfieldcalifornia https://t.co/Mza8oz6B6b,0,0,0.7526739239692688,"['zag1', 'ibikekern', 'healthylifestyle', 'kerncounty', 'sustainablelifestyle', 'minglake', 'bakersfieldcalifornia']"
87,2019-06-02 21:47:02,Get summer  ready with these amazing vegan sandals  Only at https://t.co/47YoUN1baF\n#veenofs #vegancommunity https://t.co/1hz7Iz39G0,0,0,0.9183290004730225,"['amazing vegan sandals', 'summer  ready', 'vegancommunity']"
88,2019-06-02 09:00:07,\n#healthcoach #coach #lifestyle #fitness #sustainablelifestyle #grownwellness #levelup #lozantonenko #courage https://t.co/yyKAEUV7Pc,0,0,0.5,"['grownwellness', 'fitness', 'sustainablelifestyle', 'levelup', 'healthcoach', 'lozantonenko', 'courage']"
89,2019-06-02 07:48:24,For All Your Indoor and Outdoor Plants! #ItalianPlanters #Qatar #Indoor_Outdoor_Plants #LandscapeMaintenance https://t.co/jktJWqy5Hm,0,0,0.5,"['Outdoor Plants', 'Qatar', 'ItalianPlanters', 'LandscapeMaintenance']"
90,2019-06-02 06:08:29,"RT @almitrasustain1: We are #TurningOne! this #WorldEnvironmentDay &amp; to celebrate, we are giving away a 20% #Discount on all our #sustainab",0,1,0.7670922875404358,"['almitrasustain1', 'WorldEnvironmentDay', 'amp', 'Discount', 'sustainab', 'RT', 'TurningOne']"
91,2019-06-02 06:03:10,"We are #TurningOne! this #WorldEnvironmentDay &amp; to celebrate, we are giving away a 20% #Discount on all our https://t.co/ZaIEQn1fq6",1,1,0.8036917448043823,"['WorldEnvironmentDay', 'amp', 'TurningOne', 'Discount']"
92,2019-06-02 02:16:30,Saturday-\n.\n.\n.\n.\n.\n.\n.\n#zag1 \n#bicycle \n#cycling\n#healthylifestyle \n#sustainablelifestyle \n#bakersfieldcalifornia https://t.co/o7RULw6p1f,1,0,0.5,"['cycling', 'healthylifestyle', 'bicycle', 'sustainablelifestyle', 'zag1', 'bakersfieldcalifornia']"
93,2019-06-01 23:21:30,"Let your hair down, its the weekend-\n.\n.\n.\n.\n.\n.\n.\n.\n#zag1 \n#cycling \n#bicycle \n#ibikekern \n#healthylifestyle https://t.co/2zur0NkgGJ",0,0,0.5,"['bicycle', 'ibikekern', 'cycling', 'zag1', 'weekend-', 'healthylifestyle', 'hair']"
94,2019-06-01 17:11:46,"LIBERTY of London vintage womens jacket, summer, size S, cotton...... #liberty #libertytextiles #cotton #jacket https://t.co/LzuhIA8St4",0,0,0.5,"['jacket', 'cotton', 'LIBERTY of London vintage', 'summer', 'size S', 'libertytextiles']"
